ID vendeur;Date;Vendeur;ID avis;Note;Avis;ID commande;ID client
1822;16/06/2020;CMJN IMPRESSION;107;2.21;"Je suis mitigé car la personne qui m'a appelé est charmante mais force est de constaté que le produit indiqué comme ""livré"" ne l'a pas été car le transporteur a semble t il pas trouvé l'adresse et d'autre part à omis de nous appeler au préalable comme indiqué dans la commande.";1092;2304
1822;16/06/2020;CMJN IMPRESSION;109;5.00;Efficace et rapide.;1257;2203
2458;25/07/2020;Ballbox;211;4.50;Aucun problème;1633;1846
2690;16/07/2020;Jumbee;190;5.00;"Merci pour tout ce fut une expérience fantastique. Au plaisir de recommander chez vous ;)";1656;2806
2717;27/09/2020;EXTREME TENNIS;306;5.00;Commande traitée rapidement et avec professionnalisme;2840;3795
2717;05/10/2020;EXTREME TENNIS;328;5.00;1ère et très bonne expérience............;3151;4059
2717;05/10/2020;EXTREME TENNIS;331;4.79;Très rapide et produit en bon état;3078;3968
2756;07/08/2020;CLICK FOR TENNIS;229;3.21;manque facture sur une commande?;1760;2953
2756;21/09/2020;CLICK FOR TENNIS;244;2.57;Produit ok mais transporteur à revoir. Le colis est arrivé abimé. Visiblement, un liquide s'était renversé et avait détrempé tout le carton qui était fixé avec beaucoup de scotch.;2398;2190
2756;21/09/2020;CLICK FOR TENNIS;250;4.71;RAS;2342;3140
2756;21/09/2020;CLICK FOR TENNIS;254;4.79;Pas e soucis sur produit acheté;2042;251
2756;21/09/2020;CLICK FOR TENNIS;256;5.00;RAS / nous passerons à nouveau commande aux besoins.;2084;3235
2756;22/09/2020;CLICK FOR TENNIS;285;4.43;"Demande de changement de lieu de livraison, cela n'a pas été pris en compte.
Je viens aussi de demander une facture, car elle n'est pas en ligne sur ""mes commandes"".
Pas encore reçue, et elle n'est toujours pas en ligne.";1931;2640
2756;25/09/2020;CLICK FOR TENNIS;299;1.00;Commande toujours pas livrée !!;2475;172
2756;29/09/2020;CLICK FOR TENNIS;311;3.93;"produit conforme, date de livraison correcte, cependant un des colis était dans un carton ""SENSEO""à moitié cassé";2802;714
2756;12/10/2020;CLICK FOR TENNIS;345;5.00;PARFAIT;3130;243
2756;12/10/2020;CLICK FOR TENNIS;350;2.00;"délai de livraison trop long
livraison non effectuée à la date prévue";3120;322
2756;14/10/2020;CLICK FOR TENNIS;357;1.93;Emballage moyen ainsi que les protections car 2 articles sont arrivés CASSES.;3128;489
2756;03/11/2020;CLICK FOR TENNIS;410;3.86;Centrale du club FFT;3659;3447
